,Month,Total Arrivals,Korea,Japan,US/Hawaii,Philippines,Taiwan,China,CNMI,FSM,Palau,Australia,Singapore,Europe,Hong Kong,Russia,Malaysia,India,Other/Unknown
0,2014-01,116727,28590,69141,5214,729,4912,2114,1342.0,553.0,166.0,333.0,0.0,221.0,576.0,2249.0,0.0,0.0,587.0
1,2014-02,115966,23305,75293,5292,733,3871,2027,1070.0,614.0,196.0,532.0,0.0,156.0,777.0,1368.0,0.0,0.0,732.0
2,2014-03,130846,21600,92749,5759,893,3241,628,1405.0,787.0,235.0,306.0,0.0,211.0,728.0,1783.0,0.0,0.0,521.0
3,2014-04,96442,23640,56313,5345,1341,3178,706,1316.0,758.0,254.0,373.0,0.0,175.0,718.0,1729.0,0.0,0.0,596.0
4,2014-05,90216,23640,48654,5533,1427,3996,775,1159.0,850.0,298.0,363.0,0.0,110.0,742.0,2091.0,0.0,0.0,578.0
5,2014-06,102389,27257,57225,5737,681,4694,820,1078.0,928.0,269.0,296.0,0.0,87.0,572.0,2078.0,0.0,0.0,667.0
6,2014-07,109443,26414,60348,5735,854,7466,1829,1509.0,928.0,354.0,276.0,0.0,153.0,637.0,2494.0,0.0,0.0,446.0
7,2014-08,133009,27247,87672,5940,743,5234,1189,1449.0,821.0,310.0,235.0,0.0,136.0,544.0,1000.0,0.0,0.0,489.0
8,2014-09,109139,23657,68409,7783,753,3408,1656,937.0,684.0,175.0,351.0,0.0,96.0,610.0,196.0,0.0,0.0,424.0
9,2014-10,100746,24423,60637,5374,1288,3389,1904,1020.0,730.0,271.0,297.0,0.0,115.0,596.0,374.0,0.0,0.0,328.0
10,2014-11,105569,25930,64939,5421,1372,2677,1103,1204.0,780.0,221.0,217.0,0.0,195.0,708.0,428.0,0.0,0.0,374.0
11,2014-12,118045,32334,69476,5631,1265,3070,1529,1272.0,783.0,394.0,285.0,0.0,207.0,972.0,503.0,0.0,0.0,324.0
0,2015-01,118078,38845,65011,5868,727,2602,996,942.0,729.0,200.0,322.0,0.0,152.0,632.0,698.0,0.0,0.0,354.0
1,2015-02,125576,31677,74153,5648,703,4776,5259,919.0,651.0,230.0,399.0,0.0,120.0,610.0,142.0,0.0,0.0,289.0
2,2015-03,131519,27434,87735,6767,948,3279,1443,1153.0,866.0,209.0,213.0,0.0,187.0,675.0,254.0,0.0,0.0,356.0
3,2015-04,95576,28381,52393,5771,1390,2959,1116,1027.0,722.0,245.0,193.0,0.0,131.0,720.0,218.0,0.0,0.0,310.0
4,2015-05,93949,29904,49270,5648,1156,3338,1092,1000.0,774.0,240.0,279.0,0.0,85.0,580.0,175.0,0.0,0.0,408.0
5,2015-06,100218,31161,54263,5684,814,3075,1102,1198.0,935.0,410.0,225.0,0.0,91.0,555.0,297.0,0.0,0.0,408.0
6,2015-07,114278,35395,59062,6082,849,6174,2311,1519.0,901.0,426.0,217.0,0.0,125.0,687.0,194.0,0.0,0.0,336.0
7,2015-08,134810,42733,73692,6133,858,3913,3302,1333.0,935.0,312.0,147.0,0.0,154.0,737.0,174.0,0.0,0.0,387.0
8,2015-09,120167,35895,68774,5618,908,3063,2432,1170.0,646.0,271.0,193.0,0.0,124.0,691.0,82.0,0.0,0.0,300.0
9,2015-10,110789,37306,58030,4944,1320,2748,2306,1185.0,808.0,654.0,204.0,0.0,151.0,586.0,187.0,0.0,0.0,360.0
10,2015-11,121290,43030,62760,5423,1340,3144,1245,1341.0,892.0,302.0,128.0,0.0,188.0,815.0,256.0,0.0,0.0,426.0
11,2015-12,131533,46139,67876,6559,1414,3134,1094,1547.0,1034.0,418.0,155.0,0.0,235.0,1118.0,404.0,0.0,0.0,406.0
0,2016-01,128706,48859,62716,6645,746,3675,2127,1213.0,663.0,263.0,296.0,0.0,158.0,529.0,442.0,0.0,0.0,374.0
1,2016-02,135361,41576,71796,6275,860,4796,6391,1109.0,725.0,216.0,302.0,0.0,158.0,682.0,119.0,0.0,0.0,356.0
2,2016-03,131805,34444,79256,6505,2135,3253,1384,1490.0,1034.0,427.0,145.0,0.0,186.0,944.0,191.0,0.0,0.0,411.0
3,2016-04,105070,38667,49295,6670,1888,2587,1829,1394.0,869.0,353.0,126.0,0.0,183.0,598.0,156.0,0.0,0.0,455.0
4,2016-05,113379,43357,48891,7092,2343,3512,2020,1751.0,1257.0,692.0,343.0,0.0,173.0,616.0,168.0,0.0,0.0,1164.0
5,2016-06,118134,46078,53040,6582,1917,3848,1913,1657.0,1061.0,471.0,137.0,0.0,127.0,604.0,233.0,0.0,0.0,466.0
6,2016-07,117124,48883,54625,1013,1651,3883,2062,2067.0,898.0,461.0,149.0,0.0,161.0,734.0,158.0,0.0,0.0,379.0
7,2016-08,138440,46909,79342,1020,1468,3464,2078,1401.0,998.0,386.0,146.0,0.0,157.0,633.0,108.0,0.0,0.0,330.0
8,2016-09,121290,44185,65130,1415,1622,3490,1822,1235.0,788.0,385.0,127.0,0.0,133.0,538.0,66.0,0.0,0.0,354.0
9,2016-10,117671,48119,55636,1347,2406,3499,2355,1128.0,1005.0,487.0,158.0,0.0,131.0,651.0,257.0,0.0,0.0,492.0
10,2016-11,121074,48690,59918,1169,2497,3245,1377,1497.0,785.0,248.0,121.0,0.0,180.0,668.0,258.0,0.0,0.0,421.0
11,2016-12,135767,55193,66035,1184,2119,2977,1655,1637.0,1037.0,403.0,147.0,0.0,262.0,2180.0,432.0,0.0,0.0,506.0
0,2017-01,142726,57041,66035,7321,2115,2099,1650,1811.0,1329.0,508.0,159.0,100.0,223.0,797.0,663.0,20.0,8.0,847.0
